City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Nikolskoye,RU,76.89,scattered clouds,59.7035,30.7861,Tourist House - Sablino
3,Vanimo,PG,75.96,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
5,Nantucket,US,83.25,clear sky,41.2835,-70.0995,Jared Coffin House
9,Mersing,MY,78.12,broken clouds,2.4312,103.8405,Timotel Hotel
12,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
14,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Vaini,TO,75.45,light rain,-21.2,-175.2,Keleti Beach Resort
19,Jamestown,US,83.3,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Butaritari,KI,82.33,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
26,Lazaro Cardenas,MX,87.13,broken clouds,17.9583,-102.2,quinta antigua
29,Saint-Francois,FR,76.17,clear sky,46.4154,3.9054,Manoir Du Bonheur
30,Roald,NO,76.12,clear sky,62.5833,6.1333,Flem Cabins
33,Pitimbu,BR,82.99,clear sky,-7.4706,-34.8086,Reserva do Abiaí
38,Namatanai,PG,78.21,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
39,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
45,Carutapera,BR,82.99,broken clouds,-1.195,-46.02,Lidera
59,Victoria,HK,88.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
60,Saint George,US,89.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
65,Athens,GR,86.18,clear sky,37.9795,23.7162,Novotel Athenes
67,Sturgeon Falls,CA,77.9,few clouds,46.3646,-79.9326,Lincoln Motel
71,Atuona,PF,77.52,broken clouds,-9.8,-139.0333,Villa Enata
79,Paita,PE,79.36,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
83,Meulaboh,ID,78.33,overcast clouds,4.1363,96.1285,Kost Pria
84,Makakilo City,US,79.12,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
86,Zhangye,CN,76.69,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
87,Nazilli,TR,84.09,clear sky,37.9163,28.3223,Gül Palast
89,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
90,Kulhudhuffushi,MV,81.93,light rain,6.6221,73.07,Hondaafushi Island Resort
99,Sioux Lookout,CA,78.42,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
100,Mikkeli,FI,77.11,clear sky,61.6886,27.2723,"Original Sokos Hotel Vaakuna, Mikkeli"
105,Broome,US,86.18,scattered clouds,42.2506,-75.833,Chenango Valley State Park
106,Loreto,MX,76.41,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
112,Faanui,PF,78.58,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Grand-Lahou,CI,77.23,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
117,Kavieng,PG,80.53,light rain,-2.5744,150.7967,Nusa Island Retreat
124,Idenao,CM,75.67,overcast clouds,4.2475,9.0047,Moland Beach Resort
126,Caravelas,BR,76.77,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
128,Aquiraz,BR,87.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
133,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
135,Sao Filipe,CV,75.78,broken clouds,14.8961,-24.4956,Hotel Xaguate
141,Guerrero Negro,MX,77.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
142,Bud,US,89.92,clear sky,39.447,-86.1758,Ted McQuinn Trust
143,Ambon,ID,77.99,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
146,Samarai,PG,77.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
149,Buala,SB,77.85,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
150,Porbandar,IN,82.17,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
159,Harper,LR,77.49,broken clouds,4.375,-7.7169,Screensaver
161,Neyshabur,IR,86.22,clear sky,36.2133,58.7958,Amiran Hotel
169,Verin,ES,80.56,clear sky,41.9415,-7.4381,Parador de Verín
170,Visby,SE,75.42,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
172,Castrolibero,IT,85.68,few clouds,39.3081,16.1944,Italiana Hotels Cosenza
174,Depok,ID,79.63,clear sky,-6.4,106.8186,Hotel Santika Depok
176,Mason City,US,89.1,clear sky,43.1536,-93.201,Days Inn by Wyndham Mason City
178,Veraval,IN,81.16,broken clouds,20.9,70.3667,Lords Inn Somnath
179,Bull Savanna,JM,84.47,broken clouds,17.8868,-77.5902,Big Red's
181,Steinkjer,NO,77.94,clear sky,64.193,11.3851,Deråsbrenna
189,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
192,Bethel,US,89.73,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
194,Aksay,RU,83.25,broken clouds,47.26,39.87,Chernaya Zhemchuzhina
195,Marsh Harbour,BS,83.8,clear sky,26.5412,-77.0636,Abaco Beach Resort
201,Hithadhoo,MV,81.18,broken clouds,-0.6,73.0833,Scoop Guest House
209,Oistins,BB,83.08,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
215,Erzin,TR,84.72,clear sky,36.9559,36.2,Artemis Otel
218,Lorengau,PG,80.89,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
219,Bandarbeyla,SO,77.92,broken clouds,9.4942,50.8122,JABIR HOTEL
225,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
228,Ajdabiya,LY,84.51,clear sky,30.7554,20.2263,Almadina Hotel
230,Chhuikhadan,IN,79.5,heavy intensity rain,21.5333,80.9833,All Day Library
235,Nishihara,JP,81.68,overcast clouds,26.1842,127.7558,Minshuku Agaihama
241,Tura,IN,76.78,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
245,Silver City,US,78.76,clear sky,32.7701,-108.2803,Copper Manor Motel
246,Tabou,CI,77.54,broken clouds,4.423,-7.3528,hotêl doufoulougou
252,Ponta Do Sol,PT,81.01,few clouds,32.6667,-17.1,Hotel do Campo
253,Carbonia,IT,83.05,broken clouds,39.1672,8.5222,Lu 'Hotel
261,Otradnoye,RU,77.05,moderate rain,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
262,Karaton,ID,78.96,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
263,Port Blair,IN,82.08,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
266,Kuala Terengganu,MY,79.7,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
271,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
274,Kauhajoki,FI,76.98,scattered clouds,62.4333,22.1833,Helmin Kortteeri / Kahvila Helmi Saarikoski Oy
275,Tatawin,TN,89.64,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
279,Grove City,US,89.71,few clouds,39.8815,-83.093,Drury Inn & Suites Columbus Grove City
280,Pizarro,CO,81.23,broken clouds,4.9533,-77.366,Hotel Limonar
282,Sao Joao Do Paraiso,BR,78.84,scattered clouds,-15.3136,-42.0144,Avenida Palace Hotel
284,Chulucanas,PE,86.76,clear sky,-5.0925,-80.1625,"Servicio Turístico Hotelero ""El Diamante"""
285,Dongying,CN,79.27,overcast clouds,37.4564,118.4856,Wanda Realm
