City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nome,US,64.5011,-165.4064,49.15,93,90,8.05,light rain
1,Glyadyanskoye,RU,54.9075,65.0883,56.98,59,76,5.82,broken clouds
2,Nikolskoye,RU,59.7035,30.7861,76.89,67,25,3.85,scattered clouds
3,Vanimo,PG,-2.6741,141.3028,75.96,84,10,4.68,clear sky
4,New Norfolk,AU,-42.7826,147.0587,53.1,81,98,3.0,light rain
5,Nantucket,US,41.2835,-70.0995,83.25,85,1,11.5,clear sky
6,Winnemucca,US,40.973,-117.7357,93.25,15,1,4.61,haze
7,Albany,US,42.6001,-73.9662,86.58,53,1,1.99,clear sky
8,Picsi,PE,-6.7178,-79.7697,73.24,64,40,9.22,scattered clouds
9,Mersing,MY,2.4312,103.8405,78.12,89,70,6.93,broken clouds
10,Clyde River,CA,70.4692,-68.5914,39.43,93,90,9.22,overcast clouds
11,At-Bashi,KG,41.1702,75.8106,64.87,41,2,1.68,clear sky
12,Ribeira Grande,PT,38.5167,-28.7,79.2,61,20,16.11,few clouds
13,Mataura,NZ,-46.1927,168.8643,42.48,98,91,2.95,overcast clouds
14,Kapaa,US,22.0752,-159.319,82.72,80,40,3.0,scattered clouds
15,Vaini,TO,-21.2,-175.2,75.45,77,77,9.53,light rain
16,Riyadh,SA,24.6877,46.7219,102.74,12,24,9.13,few clouds
17,Grado,ES,43.388,-6.0743,71.08,76,75,3.44,broken clouds
18,Punta Arenas,CL,-53.15,-70.9167,42.12,75,99,12.97,overcast clouds
19,Jamestown,US,42.097,-79.2353,83.3,62,11,9.62,few clouds
20,Port Hardy,CA,50.6996,-127.4199,58.24,94,99,2.39,light rain
21,Narsaq,GL,60.9167,-46.05,66.42,50,44,3.56,scattered clouds
22,Nhulunbuy,AU,-12.2333,136.7667,72.21,88,88,3.44,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,47.93,69,100,8.61,overcast clouds
24,Butaritari,KI,3.0707,172.7902,82.33,73,95,7.52,overcast clouds
25,Coihaique,CL,-45.5752,-72.0662,44.55,57,20,5.75,few clouds
26,Lazaro Cardenas,MX,17.9583,-102.2,87.13,67,62,4.09,broken clouds
27,Busselton,AU,-33.65,115.3333,57.09,68,55,32.73,broken clouds
28,Saint-Philippe,RE,-21.3585,55.7679,67.59,80,62,11.77,light rain
29,Saint-Francois,FR,46.4154,3.9054,76.17,56,0,8.05,clear sky
30,Roald,NO,62.5833,6.1333,76.12,77,0,11.5,clear sky
31,Taltal,CL,-25.4,-70.4833,62.17,65,2,6.33,clear sky
32,Ushuaia,AR,-54.8,-68.3,37.02,84,97,4.0,light rain
33,Pitimbu,BR,-7.4706,-34.8086,82.99,71,3,12.91,clear sky
34,Pingzhuang,CN,42.0372,119.2889,72.0,88,100,5.95,overcast clouds
35,Kodiak,US,57.79,-152.4072,53.35,85,16,2.33,few clouds
36,Tasiilaq,GL,65.6145,-37.6368,51.96,81,13,5.37,few clouds
37,Avarua,CK,-21.2078,-159.775,73.45,94,75,4.61,light rain
38,Namatanai,PG,-3.6667,152.4333,78.21,79,40,2.48,scattered clouds
39,Maceio,BR,-9.6658,-35.7353,78.24,73,75,14.97,broken clouds
40,Jacareacanga,BR,-6.2222,-57.7528,97.12,23,100,3.91,overcast clouds
41,Ipueiras,BR,-7.0333,-40.45,89.4,29,4,11.65,clear sky
42,Marawi,PH,7.9986,124.2928,72.64,88,100,5.35,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,66.56,55,95,11.01,overcast clouds
44,Dunedin,NZ,-45.8742,170.5036,48.79,66,100,21.0,overcast clouds
45,Carutapera,BR,-1.195,-46.02,82.99,67,78,8.25,broken clouds
46,Kununurra,AU,-15.7667,128.7333,64.38,88,92,0.0,overcast clouds
47,Hobart,AU,-42.8794,147.3294,53.46,84,90,1.99,light intensity shower rain
48,Vao,NC,-22.6667,167.4833,68.9,60,82,16.49,broken clouds
49,Sterling,US,39.0062,-77.4286,94.28,49,75,3.0,broken clouds
50,Thompson,CA,55.7435,-97.8558,70.83,22,0,6.04,clear sky
51,Klaksvik,FO,62.2266,-6.589,52.72,99,100,7.18,overcast clouds
52,Quito,EC,-0.2299,-78.5249,61.75,52,52,3.69,light rain
53,Bulolo,PG,-7.2,146.65,67.41,97,69,2.15,broken clouds
54,Rikitea,PF,-23.1203,-134.9692,73.54,74,36,17.83,scattered clouds
55,Whittlesea,ZA,-32.1759,26.8244,48.27,26,98,7.92,overcast clouds
56,Yoichi,JP,43.2039,140.7703,64.78,72,54,2.82,broken clouds
57,Hermanus,ZA,-34.4187,19.2345,59.56,69,28,3.18,scattered clouds
58,Carnarvon,AU,-24.8667,113.6333,71.67,84,90,13.8,overcast clouds
59,Victoria,HK,22.2855,114.1577,88.32,86,98,1.99,overcast clouds
60,Saint George,US,37.1041,-113.5841,89.8,50,1,3.0,clear sky
61,East London,ZA,-33.0153,27.9116,65.17,33,100,7.52,overcast clouds
62,Airai,TL,-8.9266,125.4092,55.31,66,27,2.44,scattered clouds
63,Roanoke Rapids,US,36.4615,-77.6542,91.2,89,75,6.91,broken clouds
64,Bluff,NZ,-46.6,168.3333,42.8,78,79,17.0,broken clouds
65,Athens,GR,37.9795,23.7162,86.18,21,0,7.0,clear sky
66,Saskylakh,RU,71.9167,114.0833,45.1,89,49,2.73,scattered clouds
67,Sturgeon Falls,CA,46.3646,-79.9326,77.9,55,20,5.82,few clouds
68,Josefina,PH,8.2,123.5333,71.04,94,100,3.15,overcast clouds
69,Bambanglipuro,ID,-7.95,110.2833,74.53,85,82,4.38,broken clouds
70,Luderitz,NA,-26.6481,15.1594,67.35,46,1,9.13,clear sky
71,Atuona,PF,-9.8,-139.0333,77.52,70,55,25.08,broken clouds
72,Moose Factory,CA,51.2585,-80.6094,60.35,58,75,6.89,broken clouds
73,Mahebourg,MU,-20.4081,57.7,66.25,79,21,11.43,light rain
74,Hackettstown,US,40.854,-74.8291,90.37,58,100,4.61,overcast clouds
75,Barrow,US,71.2906,-156.7887,44.62,98,90,9.22,light rain
76,Upernavik,GL,72.7868,-56.1549,45.81,63,100,4.59,overcast clouds
77,Chapais,CA,49.7834,-74.8492,64.18,90,93,11.5,overcast clouds
78,Yeniseysk,RU,58.4497,92.1703,66.61,70,98,4.36,overcast clouds
79,Paita,PE,-5.0892,-81.1144,79.36,70,21,13.15,few clouds
80,Provideniya,RU,64.3833,-173.3,48.11,99,100,3.04,overcast clouds
81,Cherskiy,RU,68.75,161.3,39.51,74,1,8.61,clear sky
82,Yar-Sale,RU,66.8333,70.8333,47.97,81,43,4.76,scattered clouds
83,Meulaboh,ID,4.1363,96.1285,78.33,85,89,4.59,overcast clouds
84,Makakilo City,US,21.3469,-158.0858,79.12,69,90,0.0,overcast clouds
85,Port Alfred,ZA,-33.5906,26.891,65.55,36,100,10.8,overcast clouds
86,Zhangye,CN,38.9342,100.4517,76.69,29,95,7.34,overcast clouds
87,Nazilli,TR,37.9163,28.3223,84.09,26,0,5.91,clear sky
88,Ponta Delgada,PT,37.7333,-25.6667,74.12,68,75,16.11,broken clouds
