City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-07-22 21:04:42,3.0707,172.7902,83.66,75,29,16.46
1,San Patricio,US,2021-07-22 21:04:42,28.017,-97.5169,89.49,50,72,14.67
2,Moussoro,TD,2021-07-22 21:04:43,13.6408,16.4901,81.27,64,100,7.61
3,Hobart,AU,2021-07-22 21:04:43,-42.8794,147.3294,51.26,68,75,4.0
4,Hilo,US,2021-07-22 21:02:14,19.7297,-155.09,78.53,83,90,11.5
5,Arraial Do Cabo,BR,2021-07-22 21:03:02,-22.9661,-42.0278,68.32,71,1,9.91
6,Vaini,TO,2021-07-22 21:04:44,-21.2,-175.2,78.96,89,20,8.05
7,New Norfolk,AU,2021-07-22 21:04:44,-42.7826,147.0587,50.92,71,100,1.01
8,Esfarayen,IR,2021-07-22 21:04:45,37.0765,57.5101,76.8,22,23,4.63
9,Ushuaia,AR,2021-07-22 21:04:44,-54.8,-68.3,42.46,65,40,5.75
10,Souillac,MU,2021-07-22 21:04:45,-20.5167,57.5167,70.36,77,31,12.57
11,Cidreira,BR,2021-07-22 21:04:46,-30.1811,-50.2056,58.68,81,2,13.44
12,Clyde River,CA,2021-07-22 21:03:16,70.4692,-68.5914,34.52,99,100,5.77
13,Bengkulu,ID,2021-07-22 21:03:13,-3.8004,102.2655,75.02,86,47,3.49
14,Cape Town,ZA,2021-07-22 21:03:51,-33.9258,18.4232,49.1,63,37,10.45
15,Codrington,AU,2021-07-22 21:04:47,-38.2667,141.9667,41.32,98,100,9.57
16,Comodoro Rivadavia,AR,2021-07-22 21:00:29,-45.8667,-67.5,55.81,49,97,13.09
17,Tornio,FI,2021-07-22 21:04:09,65.8481,24.1466,55.42,61,98,9.93
18,Poronaysk,RU,2021-07-22 21:04:47,49.2167,143.1167,65.25,94,99,0.96
19,Norman Wells,CA,2021-07-22 21:04:48,65.282,-126.8329,79.79,44,16,9.31
20,Roald,NO,2021-07-22 21:04:48,62.5833,6.1333,59.16,87,20,6.91
21,Albany,US,2021-07-22 21:04:49,42.6001,-73.9662,79.84,52,99,1.01
22,Mataura,NZ,2021-07-22 21:04:49,-46.1927,168.8643,39.47,95,13,3.09
23,Jacareacanga,BR,2021-07-22 21:03:13,-6.2222,-57.7528,93.11,32,41,1.45
24,Port Lincoln,AU,2021-07-22 21:04:49,-34.7333,135.8667,52.41,79,74,11.74
25,Witu,KE,2021-07-22 21:04:50,-2.3889,40.4382,77.16,80,5,13.76
26,Belmonte,BR,2021-07-22 21:04:50,-15.8631,-38.8828,73.9,74,57,11.45
27,Suez,EG,2021-07-22 21:04:50,29.9737,32.5263,80.1,70,0,6.31
28,Indramayu,ID,2021-07-22 21:04:51,-6.3264,108.32,77.65,75,25,6.62
29,Chapleau,CA,2021-07-22 21:04:51,47.8405,-83.4034,68.09,49,82,3.87
30,Hasaki,JP,2021-07-22 21:04:52,35.7333,140.8333,73.8,81,26,4.03
31,Puerto Ayora,EC,2021-07-22 21:04:52,-0.7393,-90.3518,73.54,86,97,7.0
32,Ribeira Grande,PT,2021-07-22 21:04:53,38.5167,-28.7,70.2,64,20,4.61
33,Punta Arenas,CL,2021-07-22 21:00:13,-53.15,-70.9167,41.11,75,83,18.12
34,Barrow,US,2021-07-22 21:04:53,71.2906,-156.7887,37.42,87,90,13.8
35,Tyukalinsk,RU,2021-07-22 21:04:54,55.8732,72.1967,67.06,56,6,10.69
36,Mezen,RU,2021-07-22 21:04:17,65.8522,44.24,44.31,97,81,5.17
37,Nikolskoye,RU,2021-07-22 21:04:54,59.7035,30.7861,64.29,79,94,4.25
38,Ketchikan,US,2021-07-22 21:01:04,55.3422,-131.6461,57.88,86,99,6.02
39,Busselton,AU,2021-07-22 21:04:55,-33.65,115.3333,52.09,73,100,21.59
40,Erdenet,MN,2021-07-22 21:04:56,49.0333,104.0833,58.42,87,88,4.05
41,Narsaq,GL,2021-07-22 21:04:56,60.9167,-46.05,55.62,79,49,9.19
42,Saint-Georges,GD,2021-07-22 21:04:56,12.0564,-61.7485,81.28,81,86,13.06
43,Marfino,RU,2021-07-22 21:04:57,55.7028,37.3822,61.88,61,0,6.71
44,Mar Del Plata,AR,2021-07-22 21:03:49,-38.0023,-57.5575,54.05,72,100,9.62
45,Bethel,US,2021-07-22 21:04:57,41.3712,-73.414,80.69,64,75,1.01
46,Rikitea,PF,2021-07-22 21:04:58,-23.1203,-134.9692,73.49,72,15,18.12
47,Iqaluit,CA,2021-07-22 21:01:16,63.7506,-68.5145,46.83,85,97,13.15
48,Kapaa,US,2021-07-22 21:03:05,22.0752,-159.319,82.38,79,97,7.0
49,Georgetown,MY,2021-07-22 21:03:00,5.4112,100.3354,84.13,77,20,8.05
50,Margate,GB,2021-07-22 21:04:59,51.3813,1.3862,64.69,81,5,1.01
51,Saint-Philippe,RE,2021-07-22 21:04:59,-21.3585,55.7679,67.55,75,43,12.08
52,Kahului,US,2021-07-22 21:03:58,20.8947,-156.47,87.06,63,40,20.71
53,Conway,US,2021-07-22 21:05:00,35.0887,-92.4421,91.18,74,64,2.44
54,Zacapu,MX,2021-07-22 21:05:00,19.8333,-101.7167,68.95,76,89,2.26
55,Moose Factory,CA,2021-07-22 21:05:01,51.2585,-80.6094,70.83,45,0,7.43
56,Kaitangata,NZ,2021-07-22 21:05:01,-46.2817,169.8464,42.93,80,10,6.4
57,Maddur,IN,2021-07-22 21:05:02,12.6,77.0667,70.14,84,100,14.56
58,Tocopilla,CL,2021-07-22 21:05:03,-22.092,-70.1979,64.53,62,20,7.87
59,Nizhniy Tsasuchey,RU,2021-07-22 21:05:04,50.5167,115.1333,62.2,90,74,7.99
60,Chokurdakh,RU,2021-07-22 21:03:54,70.6333,147.9167,44.44,64,2,7.38
61,Port Blair,IN,2021-07-22 21:05:04,11.6667,92.75,82.22,85,100,22.15
62,Fort-Shevchenko,KZ,2021-07-22 21:05:05,44.5086,50.263,83.84,65,99,13.82
63,Jumla,NP,2021-07-22 21:05:05,29.2747,82.1838,63.57,96,100,1.74
64,Biak,ID,2021-07-22 21:05:06,-0.9131,122.8766,74.1,89,98,7.18
65,Longyearbyen,SJ,2021-07-22 21:01:11,78.2186,15.6401,46.24,71,75,18.41
66,Itanhaem,BR,2021-07-22 21:02:38,-24.1831,-46.7889,70.25,82,0,2.71
67,Dikson,RU,2021-07-22 21:05:06,73.5069,80.5464,38.34,99,100,23.55
68,Kalofer,BG,2021-07-22 21:01:45,42.6167,24.9833,65.52,65,9,2.46
69,Kodiak,US,2021-07-22 21:05:07,57.79,-152.4072,54.91,88,90,10.36
70,Port Elizabeth,ZA,2021-07-22 21:00:51,-33.918,25.5701,46.09,68,88,16.31
71,Bredasdorp,ZA,2021-07-22 21:03:20,-34.5322,20.0403,37.27,82,20,2.73
72,Kawalu,ID,2021-07-22 21:05:08,-7.3817,108.2082,71.73,93,86,0.47
73,Alofi,NU,2021-07-22 21:04:40,-19.0595,-169.9187,76.89,94,75,9.22
74,Gat,IL,2021-07-22 21:05:09,31.61,34.7642,79.48,100,0,3.42
75,Dumai,ID,2021-07-22 21:05:09,1.6833,101.45,75.72,95,99,2.75
76,Bull Savanna,JM,2021-07-22 21:05:10,17.8868,-77.5902,83.75,65,26,13.89
77,Launceston,AU,2021-07-22 21:05:10,-41.45,147.1667,48.79,88,40,1.01
78,Sitka,US,2021-07-22 21:05:11,57.0531,-135.33,58.89,77,90,9.22
79,Garowe,SO,2021-07-22 21:05:11,8.4054,48.4845,82.02,51,95,32.46
80,Jinji,CN,2021-07-22 21:00:53,23.2281,110.8261,76.44,95,1,0.74
81,Hermanus,ZA,2021-07-22 21:03:17,-34.4187,19.2345,45.9,76,29,9.48
82,Nilokheri,IN,2021-07-22 21:05:12,29.8333,76.9167,80.89,70,62,5.82
83,Provideniya,RU,2021-07-22 21:05:12,64.3833,-173.3,42.91,81,90,8.95
84,Hervey Bay,AU,2021-07-22 21:05:13,-25.2986,152.8535,55.04,83,34,4.45
85,Helong,CN,2021-07-22 21:05:13,42.5397,128.9972,72.07,84,99,3.38
86,Kruisfontein,ZA,2021-07-22 21:05:13,-34.0033,24.7314,43.88,76,99,10.54
87,Esperance,AU,2021-07-22 21:05:14,-33.8667,121.9,49.75,74,1,18.5
88,Ambon,ID,2021-07-22 21:05:14,-3.6954,128.1814,75.34,100,40,2.3
89,Hami,CN,2021-07-22 21:05:14,42.8,93.45,87.53,38,94,24.7
90,Bathsheba,BB,2021-07-22 21:05:15,13.2167,-59.5167,84.81,74,75,17.27
91,Were Ilu,ET,2021-07-22 21:05:15,10.6,39.4333,51.94,94,83,4.59
92,Salinopolis,BR,2021-07-22 21:05:16,-0.6136,-47.3561,79.81,82,55,13.18
93,Cacoal,BR,2021-07-22 21:05:16,-11.4386,-61.4472,94.28,23,0,4.52
94,Fort Smith,US,2021-07-22 21:05:17,35.3859,-94.3986,89.92,58,75,0.0
95,Galesong,ID,2021-07-22 21:05:17,-5.3166,119.3661,73.42,78,100,6.15
96,Mayo,US,2021-07-22 21:05:17,38.8876,-76.5119,85.73,47,40,3.0
97,Port Antonio,JM,2021-07-22 21:05:18,18.18,-76.4612,87.91,65,70,12.06
98,Kirkuk,IQ,2021-07-22 21:05:18,35.4681,44.3922,91.99,26,0,2.91
99,Pangody,RU,2021-07-22 21:05:18,65.85,74.4859,51.66,67,98,5.97
100,Dulce Nombre De Culmi,HN,2021-07-22 21:05:19,15.1,-85.5333,95.23,42,44,9.4
101,Dunedin,NZ,2021-07-22 21:05:19,-45.8742,170.5036,47.8,67,3,1.01
102,Lokoja,NG,2021-07-22 21:05:20,7.8024,6.743,74.57,87,100,3.47
103,Aranos,NA,2021-07-22 21:05:20,-24.1333,19.1167,38.34,21,0,10.38
104,Yellowknife,CA,2021-07-22 21:05:20,62.456,-114.3525,68.29,86,100,9.95
105,Galeana,MX,2021-07-22 21:05:21,24.8333,-100.0667,77.31,65,65,6.69
106,Yar-Sale,RU,2021-07-22 21:05:21,66.8333,70.8333,47.01,66,80,6.53
107,Geraldton,AU,2021-07-22 21:05:22,-28.7667,114.6,54.01,94,90,10.36
108,Sept-Iles,CA,2021-07-22 21:05:07,50.2001,-66.3821,66.25,76,51,7.0
109,Amapa,BR,2021-07-22 21:01:06,1.0,-52.0,75.92,96,100,3.65
110,Balykshi,KZ,2021-07-22 21:05:22,47.0667,51.8667,82.4,36,40,6.71
111,Qaanaaq,GL,2021-07-22 21:05:23,77.484,-69.3632,45.19,64,43,1.63
112,Fukue,JP,2021-07-22 21:03:29,32.6881,128.8419,79.43,80,100,10.22
113,Namtsy,RU,2021-07-22 21:05:24,62.7161,129.6658,59.11,64,100,1.39
114,Champerico,GT,2021-07-22 21:05:24,14.3,-91.9167,88.34,67,80,8.77
115,Port-Gentil,GA,2021-07-22 21:04:32,-0.7193,8.7815,75.11,75,97,13.49
116,Sangar,RU,2021-07-22 21:05:25,63.9242,127.4739,60.96,73,21,2.73
